bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
-3.01589,4.80098,-12.2293,0.164937,0.196633,1,1,1,0.0,43,5.14913,0.5,9.9357,7.09307,15.5644,16,12.7822,-11.3127,-6.09959,-15.6045,-4.16173,7.38905,0,0,0,
1.29252,2.12483,5.52784,0.546778,0.545625,1,1,1,1.0,44,8.70433,4.8859,2.17665,-5.11422,-15.2156,-9.25547,15.9898,16,-10.9941,-9.42889,-0.98709,2.48074,0,0,0,
-4.77968,1.07035,7.80689,0.528742,0.504323,1,1,1,1.0,45,3.68165,7.9488,0.516686,3.4316,-14.3396,-15.8032,15.6706,15.375,-12.7758,-6.99951,4.83121,10.2585,0,0,0,
4.86388,1.5669,0.105213,0.561512,0.547286,1,1,1,1.0,46,6.88501,8.47263,6.59183,-4.99761,-15.7576,4.01985,4.94169,16,-15.8858,-12.7969,4.05594,5.99181,0,0,0,
1.31017,1.6431,4.30795,0.576296,0.549804,1,1,1,1.0,47,4.36958,7.77716,0.504096,-2.83117,-15.1802,-11.4139,14.1004,15.98,-5.47275,-12.7484,2.27365,2.41642,0,0,0,
-2.92091,5.14635,2.56587,0.499056,0.472029,1,1,1,1.0,48,5.01348,4.86175,1.99629,6.41736,-11.9856,10.6837,10.3648,11.1173,-15.6032,-5.82642,-15.6035,-10.6525,0,0,0,
-5.68143,-6.39056,6.10505,0.454565,0.410234,1,1,1,0.314,49,7.66538,8.43842,2.43263,3.84142,-7.15159,-14.3433,14.2554,13.8788,7.5526,3.93229,15.7358,-4.91294,0,0,0,
4.34325,1.75666,6.85729,0.540222,0.537185,1,1,1,1.0,50,8.18124,6.15605,7.45573,-5.68611,-15.4844,-5.94009,7.41097,15.9685,-15.9675,-14.1824,1.22699,-1.29926,0,0,0,
4.73764,1.75809,-2.40263,0.582656,0.559456,1,1,1,1.0,51,4.27405,7.95024,3.84773,-4.84853,-14.8144,3.54039,5.61514,15.2249,-15.3582,-12.1009,3.03855,13.5049,0,0,0,
6.25879,1.47851,1.24844,0.554922,0.536462,1,1,1,1.0,52,1.25175,9.69789,6.7988,0.446168,-16,1.72778,-0.202664,16,-15.939,-14.944,6.8351,8.25228,0,0,0,
2.18922,2.58041,-1.48752,0.439041,0.422096,1,1,1,0.0,53,7.6071,8.71807,9.23521,16,6.56779,-16,-15.2838,0.880572,10.8119,-0.264403,-9.62423,2.78062,0,0,0,
3.83163,1.30912,6.5206,0.555153,0.531759,1,1,1,1.0,54,5.17878,9.33435,6.5346,-4.82999,-15.5295,-6.48891,9.70414,15.813,-16,-14.0465,5.4836,3.25237,0,0,0,
0.646186,1.22477,-1.36453,0.563782,0.535195,1,1,1,1.0,55,9.05578,9.39645,5.5982,0.481192,-15.9337,3.14211,13.5434,16,-15.8854,-11.5893,7.57552,11.3976,0,0,0,
5.1972,1.98788,3.55823,0.559281,0.557231,1,1,1,1.0,56,7.4906,4.16852,4.33993,-6.38168,-15.1154,-3.53076,6.60827,16,-13.3281,-13.2141,-0.642563,2.4711,0,0,0,
4.3226,5.69754,3.11794,0.5381,0.495642,1,1,1,1.0,57,7.37532,2.43132,6.46369,2.35312,-6.67124,9.87867,1.97657,5.01166,-15.3977,-15.8943,-15.8303,-9.12307,0,0,0,
0.240674,1.73087,0.136953,0.554864,0.538098,1,1,1,1.0,58,8.75592,5.701,7.01147,-0.155434,-14.9635,5.56716,14.8282,15.9489,-15.9992,-9.77554,2.01651,3.94447,0,0,0,
-0.495031,-1.05579,2.16492,0.588619,0.577834,1,1,1,1.0,59,9.78865,5.09419,6.32176,-0.2702,-14.2065,-0.520447,3.13265,16,-15.4271,-0.862718,7.21089,6.28781,0,0,0,
5.14989,2.04611,9.66616,0.570663,0.559624,1,1,1,1.0,60,8.3018,4.75894,2.93426,-6.87435,-15.3127,-12.8639,6.69827,15.9125,-15.8589,-11.7278,-0.368999,-2.95396,0,0,0,
5.02884,2.18297,10.1695,0.56427,0.565489,1,1,1,1.0,61,8.06452,4.24298,0.542822,-11.1294,-14.5354,-10.3949,12.6828,15.5585,-15.4174,-13.4371,-3.57652,-8.68985,0,0,0,
1.60128,-1.23359,-2.28445,0.416883,0.424063,1,1,1,0.0,62,4.11684,9.62237,6.87489,8.43912,15.9024,-14.7232,-4.57786,5.45122,15.8567,-14.1526,-14.2232,-4.56679,0,0,0,
3.52278,1.37183,4.35888,0.576701,0.56292,1,1,1,1.0,63,8.90788,7.21798,2.07184,-6.89915,-14.461,-7.54314,6.88832,14.9022,-15.3847,-8.81871,2.09584,6.90373,0,0,0,
