bias1,bias2,bias3,fitness,fitness_at_90,recep1,recep2,recep3,robustness,seed,timConst1,timConst2,timConst3,w_1->1,w_1->2,w_1->3,w_2->1,w_2->2,w_2->3,w_3->1,w_3->2,w_3->3,w_AS->1,w_AS->2,w_AS->3,
13.3141,-10.284,-7.90315,0.6276,0.431065,0,0,0,0.588,36,2.30407,0.695153,4.90503,-7.64735,8.5259,2.37835,7.7642,13.207,-14.8491,-15.9759,5.22202,9.57454,-1.20189,14.0289,-12.7437,
4.79626,2.36585,7.36857,0.627627,0.582846,0,0,0,0.98,37,9.09289,2.74215,1.67792,-9.97192,3.48506,-8.2362,9.58156,6.88472,-11.2859,-3.78822,-4.16095,-4.44843,4.45424,13.5867,-10.803,
10.7042,0.0775104,-13.4589,0.627704,0.0467453,0,0,0,0.196,38,6.10323,1.86172,3.07078,-6.74569,5.35664,-0.473873,8.58778,13.5673,5.25958,-13.8186,-2.81735,13.561,6.72319,15.7771,-10.3853,
7.07723,5.41477,-10.6563,0.627689,0.462526,0,0,0,0.49,39,4.57859,3.98128,3.66969,4.16616,3.65569,4.29749,0.543011,1.53854,-11.6753,-8.611,-4.59333,12.3772,12.5674,15.592,-13.7516,
0.708344,-3.51667,-10.6431,0.627665,0.369838,0,0,0,0.412,40,3.88201,0.622028,3.50201,-3.91737,12.0756,-5.99891,8.66721,15.8869,7.60534,-0.0547134,-15.1387,12.1505,4.70473,7.73017,-9.98136,
-2.0582,13.6654,-3.03795,0.627078,0.446598,0,0,0,0.471,41,3.14541,2.00049,6.40503,6.14573,-12.4798,0.618172,14.0262,7.03351,-13.1148,-2.59228,-16,1.62795,4.8972,10.6425,-14.548,
1.72082,-1.43606,-6.83145,0.627671,0.585671,0,0,0,1.0,42,2.94747,1.12995,5.49459,-4.36253,9.33823,14.4598,7.2372,7.26134,-15.9745,-3.9575,-2.38475,3.73665,0.816243,10.5941,-15.9698,
10.3145,15.5046,-10.7812,0.62741,0.360058,0,0,0,0.314,43,8.10645,4.99265,3.23777,-7.14061,-5.28024,4.38328,1.44163,-3.03237,-10.4958,-8.73176,-12.9931,11.4488,5.75843,12.3954,-15.113,
7.00396,15.046,-0.852032,0.627715,0.369914,0,0,0,0.373,44,6.59629,2.41688,1.04131,-6.37262,1.31982,-8.46708,11.5596,-8.31967,-15.2155,-7.53242,-15.8816,9.23389,12.9655,12.1817,-15.4796,
4.48226,8.07033,3.56453,0.626835,0.397364,0,0,0,0.608,45,9.86126,3.11967,4.81215,2.94626,1.55316,-3.33258,3.82568,6.66601,-7.43761,-4.9519,-9.89267,-5.67103,14.5653,12.7022,-15.9013,
9.10736,10.1586,-15.3671,0.627404,0.377186,0,0,0,0.314,46,3.08218,2.72853,4.58308,-2.03614,7.20679,6.03126,7.2086,-9.53196,-3.42433,-13.922,-13.2303,14.0421,6.63894,8.34142,-15.4703,
4.2329,0.214406,-6.38981,0.627276,0.429347,0,0,0,0.549,47,1.8919,1.89279,2.08103,11.3854,6.03777,-6.22396,14.1358,2.20212,1.28989,-13.0683,-2.44243,8.04293,10.3232,8.65512,-12.2967,
5.23616,11.1701,-11.9547,0.627719,0.305351,0,0,0,0.078,48,2.9109,3.14405,3.0803,15.9636,0.721124,6.55906,-7.42341,-0.983069,-14.9901,-10.5874,-16,11.9114,15.9843,14.4138,-15.6987,
11.8125,0.948814,-7.44279,0.627343,0.104666,0,0,0,0.353,49,5.06758,1.20434,5.00773,-0.785197,8.32996,12.6859,-6.09906,3.20419,-11.8556,-13.8743,-8.12045,3.21388,0.611043,7.13985,-10.001,
-3.89727,10.3478,-7.05381,0.627717,0.350361,0,0,0,0.451,50,1.48371,1.44599,3.47268,-0.590883,1.22138,6.36475,16,2.81213,-12.9397,-2.80528,-13.9432,8.81955,4.97617,13.1996,-13.6085,
-2.29882,11.2278,-9.37977,0.627715,0.350127,0,0,0,0.431,51,2.53323,2.97265,3.25592,-12.6647,-4.1655,-11.6668,15.5955,8.51429,6.10317,6.85892,-13.542,13.9794,6.4878,13.374,-11.5071,
